mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex
7286-92930-0038_3645-39840-0034_8786-276735-0017_5935-43322-0006,7286.0,F,3645.0,F,8786.0,M,5935.0,M
1417-1536-0005_23-124439-0074_1607-150715-0002_7247-77778-0026,1417.0,F,23.0,F,1607.0,M,7247.0,M
1547-130184-0078_5189-37999-0007_2473-157859-0030_303-123507-0006,1547.0,F,5189.0,M,2473.0,M,303.0,M
451-126826-0010_3446-176270-0028_4243-187023-0026_698-122863-0000,451.0,F,3446.0,F,4243.0,M,698.0,F
1446-122614-0041_1556-143307-0050_2334-150915-0039_7434-96672-0038,1446.0,M,1556.0,M,2334.0,M,7434.0,F
8152-258974-0018_1748-1562-0064_2481-156738-0025_2397-162253-0043,8152.0,M,1748.0,M,2481.0,F,2397.0,M
2149-36146-0013_1160-139717-0009_7538-100043-0012_6032-56222-0007,2149.0,M,1160.0,M,7538.0,M,6032.0,F
2532-154838-0032_4744-4158-0040_7335-290365-0040_8791-291101-0101,2532.0,F,4744.0,F,7335.0,F,8791.0,M
6555-398-0024_806-123715-0019_6288-63111-0012_8725-294554-0017,6555.0,M,806.0,M,6288.0,F,8725.0,M
4071-39616-0008_122-129752-0034_589-146346-0028_1556-143307-0045,4071.0,F,122.0,M,589.0,F,1556.0,M
576-129623-0011_4860-13185-0068_6206-14960-0009_6189-64708-0035,576.0,F,4860.0,M,6206.0,F,6189.0,F
3866-9920-0014_6505-231836-0005_8401-280380-0076_9026-282385-0029,3866.0,M,6505.0,F,8401.0,M,9026.0,F
6359-64713-0050_1425-139297-0012_3482-170453-0013_3889-9914-0000,6359.0,F,1425.0,F,3482.0,F,3889.0,F
6895-92805-0017_1417-1532-0039_4629-19366-0024_7460-104483-0003,6895.0,F,1417.0,F,4629.0,M,7460.0,M
1958-144503-0101_2920-156224-0016_594-127732-0053_698-123197-0011,1958.0,M,2920.0,F,594.0,M,698.0,F
1322-137589-0006_4592-22179-0032_4278-187018-0016_1417-1539-0031,1322.0,M,4592.0,F,4278.0,M,1417.0,F
451-126826-0030_671-131030-0058_8193-116805-0005_2999-156968-0043,451.0,F,671.0,M,8193.0,F,2999.0,M
7959-109176-0036_5984-63095-0002_5401-39515-0044_7732-107517-0044,7959.0,F,5984.0,F,5401.0,M,7732.0,M
2853-164188-0029_5637-41166-0027_2790-142824-0095_487-129440-0025,2853.0,F,5637.0,M,2790.0,F,487.0,M
1933-146437-0056_3790-140725-0059_6492-68353-0014_2573-186232-0007,1933.0,F,3790.0,F,6492.0,M,2573.0,F
2531-156724-0043_5810-8689-0013_3230-137483-0049_3717-21498-0018,2531.0,M,5810.0,M,3230.0,M,3717.0,M
3070-166420-0005_5723-43306-0010_2562-157263-0034_3551-7894-0015,3070.0,M,5723.0,F,2562.0,M,3551.0,F
6139-58868-0044_7240-92200-0017_8879-300234-0037_6032-58192-0055,6139.0,F,7240.0,F,8879.0,M,6032.0,F
2494-156019-0007_4586-96498-0026_6054-41614-0015_5635-44582-0016,2494.0,M,4586.0,M,6054.0,F,5635.0,M
5389-4861-0065_5093-29101-0007_2960-155152-0017_2285-149890-0027,5389.0,M,5093.0,F,2960.0,M,2285.0,M
984-137141-0010_216-122451-0009_2573-178449-0034_5746-48361-0054,984.0,M,216.0,M,2573.0,F,5746.0,M
7140-72205-0008_5054-18527-0041_16-122828-0056_2368-157066-0018,7140.0,F,5054.0,F,16.0,F,2368.0,M
112-121671-0001_6499-91098-0016_7688-105390-0036_1460-138289-0012,112.0,F,6499.0,M,7688.0,M,1460.0,F
5618-48830-0011_1754-140639-0046_278-127215-0023_7240-92200-0005,5618.0,F,1754.0,F,278.0,F,7240.0,F
398-123602-0003_6696-68773-0002_487-129440-0068_6924-114452-0040,398.0,M,6696.0,F,487.0,M,6924.0,F
3546-9342-0007_2774-131722-0088_2256-137597-0036_2427-154697-0034,3546.0,F,2774.0,M,2256.0,F,2427.0,M
8118-114476-0022_6120-14976-0045_4116-13265-0013_93-124558-0001,8118.0,F,6120.0,F,4116.0,F,93.0,F
1289-288044-0045_1417-1536-0012_2368-157054-0013_1046-133224-0006,1289.0,F,1417.0,F,2368.0,M,1046.0,M
764-132280-0034_2562-157263-0013_8605-276939-0010_8824-279153-0055,764.0,M,2562.0,M,8605.0,F,8824.0,M
2688-144987-0026_5740-39910-0020_3157-168062-0035_5570-73848-0037,2688.0,M,5740.0,F,3157.0,F,5570.0,F
258-130878-0058_5513-39477-0006_1463-134463-0004_225-131259-0001,258.0,M,5513.0,M,1463.0,F,225.0,F
210-129396-0092_497-125118-0024_79-121541-0071_2992-164101-0005,210.0,M,497.0,M,79.0,F,2992.0,M
8605-292138-0039_6895-92806-0027_1387-130989-0026_7316-10642-0077,8605.0,F,6895.0,F,1387.0,M,7316.0,F
6060-58090-0014_4800-38660-0011_217-122443-0068_612-121766-0032,6060.0,M,4800.0,F,217.0,F,612.0,F
55-121068-0051_1311-134170-0047_5746-48362-0013_3922-723-0034,55.0,M,1311.0,M,5746.0,M,3922.0,F
5147-32135-0039_7120-76055-0023_8066-290901-0012_8194-89390-0036,5147.0,M,7120.0,F,8066.0,M,8194.0,F
6233-36633-0006_1851-148962-0001_1801-138032-0026_7739-8592-0071,6233.0,F,1851.0,F,1801.0,M,7739.0,F
7555-101283-0003_5570-73846-0016_6371-63713-0025_1487-133273-0063,7555.0,F,5570.0,F,6371.0,F,1487.0,M
5157-47237-0031_816-2301-0035_7241-90852-0026_6339-65554-0074,5157.0,M,816.0,M,7241.0,M,6339.0,F
543-133212-0023_5489-10988-0026_1025-92814-0004_5386-28384-0007,543.0,M,5489.0,F,1025.0,M,5386.0,M
2146-136610-0018_3781-156977-0037_666-11243-0038_5489-65803-0001,2146.0,M,3781.0,F,666.0,F,5489.0,F
204-148920-0020_122-121729-0018_339-132717-0087_224-128660-0050,204.0,M,122.0,M,339.0,F,224.0,F
2149-8912-0015_7553-101289-0045_3994-149798-0002_7732-107520-0002,2149.0,M,7553.0,M,3994.0,F,7732.0,M
8527-281132-0030_8183-282977-0019_2256-137597-0012_1052-139308-0021,8527.0,M,8183.0,F,2256.0,F,1052.0,F
210-129396-0056_6510-62516-0024_6406-88089-0012_1547-130184-0066,210.0,M,6510.0,M,6406.0,F,1547.0,F
3119-163519-0019_581-126955-0083_6317-54487-0022_2696-157636-0018,3119.0,F,581.0,M,6317.0,F,2696.0,M
2401-144485-0065_166-352-0030_1365-134804-0019_3835-178030-0007,2401.0,F,166.0,F,1365.0,M,3835.0,M
246-122825-0024_8887-281472-0007_28-12332-0012_3945-29110-0033,246.0,F,8887.0,M,28.0,F,3945.0,M
6877-77361-0005_580-126945-0085_8183-118119-0026_30-4447-0012,6877.0,M,580.0,M,8183.0,F,30.0,F
5968-55202-0031_4039-184266-0017_7339-86804-0043_5984-63095-0030,5968.0,F,4039.0,M,7339.0,M,5984.0,F
6395-86708-0012_2577-157236-0079_1241-137614-0007_1387-134991-0034,6395.0,M,2577.0,F,1241.0,F,1387.0,M
2758-86588-0015_5519-39481-0034_6673-72311-0043_6426-64290-0044,2758.0,F,5519.0,M,6673.0,F,6426.0,F
666-11244-0010_4222-187006-0026_2498-134786-0016_3994-149798-0020,666.0,F,4222.0,F,2498.0,F,3994.0,F
3630-24758-0000_6927-86045-0014_1165-135216-0022_7704-106969-0006,3630.0,F,6927.0,F,1165.0,M,7704.0,M
882-123267-0001_227-126539-0054_559-126296-0036_5333-5083-0008,882.0,F,227.0,F,559.0,M,5333.0,M
1944-159228-0000_7169-89735-0053_583-139009-0032_7802-104398-0031,1944.0,F,7169.0,M,583.0,M,7802.0,F
2971-4275-0001_1311-134176-0016_1066-4479-0007_323-126408-0045,2971.0,M,1311.0,M,1066.0,F,323.0,F
501-125127-0031_240-160593-0009_1296-134434-0004_7558-89894-0012,501.0,M,240.0,M,1296.0,F,7558.0,M
639-143022-0044_2581-157857-0032_3703-73732-0022_2673-156474-0003,639.0,M,2581.0,F,3703.0,F,2673.0,M
8725-294554-0042_5190-87766-0000_1160-134674-0007_6956-81870-0005,8725.0,M,5190.0,M,1160.0,M,6956.0,M
7704-106974-0024_2167-149881-0022_5389-4861-0054_2992-164100-0048,7704.0,M,2167.0,M,5389.0,M,2992.0,M
559-289453-0008_5093-29101-0010_7481-101276-0018_1027-125147-0030,559.0,M,5093.0,F,7481.0,F,1027.0,M
803-139752-0029_7995-276907-0000_1313-135020-0012_7957-39967-0083,803.0,M,7995.0,F,1313.0,M,7957.0,M
7294-92934-0015_2598-4662-0047_8677-296078-0033_6763-74797-0006,7294.0,F,2598.0,F,8677.0,F,6763.0,F
8388-275212-0036_3180-138043-0097_8848-293963-0002_2512-157242-0075,8388.0,F,3180.0,M,8848.0,M,2512.0,F
122-129752-0014_8008-271817-0021_1322-137589-0000_4839-15304-0016,122.0,M,8008.0,M,1322.0,M,4839.0,F
510-130103-0003_4152-5710-0042_6371-63713-0090_79-121541-0018,510.0,M,4152.0,M,6371.0,F,79.0,F
2531-156718-0014_7000-83696-0020_4433-16802-0023_3869-700-0038,2531.0,M,7000.0,M,4433.0,M,3869.0,M
3379-132601-0024_1025-92820-0013_949-138545-0025_3869-700-0037,3379.0,F,1025.0,M,949.0,M,3869.0,M
115-122944-0030_7258-91905-0003_1859-145700-0027_5618-48830-0055,115.0,F,7258.0,M,1859.0,F,5618.0,F
820-123135-0014_500-125123-0111_335-125951-0004_3816-290923-0025,820.0,M,500.0,M,335.0,M,3816.0,F
806-124221-0031_1958-144503-0105_7335-290365-0063_278-127215-0079,806.0,M,1958.0,M,7335.0,F,278.0,F
4044-9010-0030_4260-176853-0037_2498-134816-0001_3307-145138-0003,4044.0,F,4260.0,F,2498.0,F,3307.0,M
2285-163381-0025_6497-234067-0012_968-122544-0032_1509-143477-0002,2285.0,M,6497.0,M,968.0,F,1509.0,F
711-187464-0019_1121-176698-0006_6352-83633-0017_9026-282386-0036,711.0,M,1121.0,M,6352.0,F,9026.0,F
6494-60800-0040_5660-101854-0029_2498-134816-0029_7095-88483-0003,6494.0,M,5660.0,F,2498.0,F,7095.0,M
274-121382-0015_8347-258283-0060_781-126737-0017_1487-133273-0093,274.0,F,8347.0,M,781.0,M,1487.0,M
7732-107517-0005_594-128329-0022_480-123176-0012_664-129011-0081,7732.0,M,594.0,M,480.0,M,664.0,F
1645-141819-0013_8118-114476-0020_8725-294551-0032_7868-110706-0005,1645.0,M,8118.0,F,8725.0,M,7868.0,F
7518-86741-0060_337-123025-0017_5133-30591-0025_4222-187005-0017,7518.0,M,337.0,F,5133.0,F,4222.0,F
1383-130489-0008_5401-39508-0017_1413-121799-0080_589-146346-0013,1383.0,M,5401.0,M,1413.0,M,589.0,F
6339-65554-0018_28-12332-0008_1241-137614-0037_5115-26950-0025,6339.0,F,28.0,F,1241.0,F,5115.0,F
3368-170950-0005_5583-38026-0000_5319-64075-0003_1343-158781-0026,3368.0,M,5583.0,F,5319.0,M,1343.0,F
9022-282383-0024_5154-6174-0029_3835-178028-0002_4013-11734-0020,9022.0,F,5154.0,F,3835.0,M,4013.0,M
2592-166433-0041_3584-74477-0004_3009-10327-0085_2053-138901-0011,2592.0,F,3584.0,F,3009.0,M,2053.0,F
7754-108640-0034_3157-168062-0003_1052-139308-0031_90-121085-0075,7754.0,F,3157.0,F,1052.0,F,90.0,M
7874-110243-0015_6215-62347-0027_3728-105398-0039_2149-7239-0003,7874.0,M,6215.0,F,3728.0,F,2149.0,M
203-126577-0032_8494-244443-0027_1311-134176-0027_1913-147990-0031,203.0,F,8494.0,M,1311.0,M,1913.0,M
639-124526-0025_882-123268-0018_1987-144135-0007_209-4731-0007,639.0,M,882.0,F,1987.0,M,209.0,F
1629-139707-0002_5513-39476-0020_166-122789-0039_8776-270778-0030,1629.0,F,5513.0,M,166.0,F,8776.0,F
8534-216564-0039_5655-46268-0033_8464-282934-0082_7647-102250-0081,8534.0,M,5655.0,F,8464.0,M,7647.0,M
549-126410-0043_3482-170453-0021_2688-144987-0027_1789-142896-0019,549.0,F,3482.0,F,2688.0,M,1789.0,M
246-122825-0044_1379-130530-0040_1552-140651-0036_596-127685-0007,246.0,F,1379.0,M,1552.0,M,596.0,F
98-121658-0053_984-137141-0045_8791-291101-0004_781-127518-0004,98.0,F,984.0,M,8791.0,M,781.0,M
1463-134463-0013_5656-44576-0030_2045-158081-0077_1607-150715-0034,1463.0,F,5656.0,M,2045.0,M,1607.0,M
5635-44582-0029_7134-67233-0005_7881-110131-0000_6235-36641-0109,5635.0,M,7134.0,M,7881.0,M,6235.0,F
3835-178030-0003_3513-7741-0031_5400-34478-0007_6104-58845-0046,3835.0,M,3513.0,F,5400.0,F,6104.0,F
4064-19132-0003_5266-41151-0046_5914-52088-0037_2499-156155-0020,4064.0,F,5266.0,F,5914.0,M,2499.0,M
1195-130164-0024_525-126965-0024_3790-140725-0018_3370-163384-0030,1195.0,F,525.0,F,3790.0,F,3370.0,M
249-121331-0008_2582-155973-0030_1390-130493-0013_8619-291384-0035,249.0,M,2582.0,F,1390.0,F,8619.0,M
4278-13269-0038_296-142727-0021_2149-8912-0037_8176-115047-0032,4278.0,M,296.0,M,2149.0,M,8176.0,M
8228-232690-0008_3927-6556-0033_3994-156757-0032_2053-138888-0040,8228.0,F,3927.0,M,3994.0,F,2053.0,F
3781-156973-0023_3347-134420-0021_820-123133-0019_2971-4275-0073,3781.0,F,3347.0,F,820.0,M,2971.0,M
8118-114469-0033_3025-12971-0021_6895-96175-0032_90-121085-0093,8118.0,F,3025.0,F,6895.0,F,90.0,M
5538-224746-0022_1734-142311-0029_3482-170453-0026_188-136483-0030,5538.0,F,1734.0,F,3482.0,F,188.0,F
6993-83607-0012_2045-158081-0010_4490-16003-0025_2334-150915-0021,6993.0,M,2045.0,M,4490.0,F,2334.0,M
6157-40556-0062_6080-58025-0008_5386-4145-0011_4138-11079-0061,6157.0,M,6080.0,M,5386.0,M,4138.0,F
8459-292347-0003_7484-39971-0019_979-128670-0000_2299-6525-0033,8459.0,M,7484.0,M,979.0,F,2299.0,M
